SerialId,PollingStation,UC,CensusBlock,VotersSerial,MaleVoters,FemaleVoters,TotalVoters,MaleBooths,FemaleBooths,TotalBooths
68,BHULAN IMPROVISE (COMBINED(,SINGAS,031030805,-,297,215,512,2,1,3
,,BHUTAN,031030601,-,638,88,726,,,
69,IMPROVISED FARID KHEL (COMBINED),BAZI KHEL,031030804,-,313,155,468,1,1,2
,,FARID KHEL,031030806,-,175,36,211,,,
,,GOHAR KHEL,031030807,-,144,103,247,,,
70,MOHMAND GHAWZ ARHANGA (MALE),SARAI KANDO,031030901,-,437,0,437,1,,1
,,MANDALHO KAS,031031002,-,301,0,301,,,
71,IMPROVISED WARSAK (COMBINED),TOOR KHEL,031030902,-,244,0,244,2,1,3
,,SHEIKH MALI,031030903,-,418,201,619,,,
,,PABI HKEL,031030904,-,352,17,369,,,
,,WARSAK,031030905,-,182,0,182,,,
72,IMPROVIED BOKAR (MALE),BOKAR,031031001,-,244,0,244,1,,1
,,SHAN KHEL,031031003,-,422,0,422,,,
73,IMPROVIED MERO KHEL KANDAWO (MALE),WARA TAPAI,031031004,-,597,0,597,2,,2
,,MERO KHEL ,031031005,-,616,0,616,,,
74,IMPROVIED DARAS JUMAT ,GATI TAPAI,031031006,-,1038,4,1042,2,,2
75,GPS* AKHUN ZADA,SULTAN KHEL,031031007,-,194,0,194,1,,1
,,SARA SHAGA,031030404,-,400,3,403,,,
76,GPS* TARKHU KASS (MALE),SOUKH,031031101,-,907,23,930,2,,2
,,SPIN DRAND,031030403,-,262,0,262,,,
,,SANDANA,031031103,-,296,0,296,,,
77,IMPROVISED VD TAUS (MALE),TAKHTAKAL,031031102,-,557,0,557,1,,1
